		India	Iran	Nigeria	Kenya	Congo	Zimbabwe	Sri Lanka	Uganda	Afghanistan	Guinea
prof	7952	1152	2	287	42	29	11	76	19	5	0
profession	7953	3695	14	522	62	75	73	254	56	4	0
professional	7954	27658	190	1803	301	316	210	1134	164	41	0
professionalism	7955	669	9	240	12	54	16	52	20	2	0
professionally	7956	836	9	100	27	28	17	30	10	3	0
professor	7957	13139	534	1733	117	199	110	307	60	15	0
profiling	7958	753	2	32	5	15	0	7	4	0	0
profitability	7959	3267	9	140	26	11	19	85	11	0	0
profitable	7960	17681	48	380	34	25	11	515	23	2	0
profound	7961	1142	43	144	12	27	21	43	11	2	0
programmable	7962	1221	1	2	0	1	0	0	0	0	0
programming	7963	3967	14	47	9	14	14	13	9	1	0
progressive	7964	3062	83	602	27	65	49	158	20	1	0
progressively	7965	665	23	50	13	11	11	16	3	0	0
prohibit	7966	4742	136	216	49	67	24	87	30	8	0
prohibition	7967	6468	29	90	13	13	9	16	3	6	0
projection	7968	5492	49	254	27	31	25	43	23	1	0
projector	7969	1456	2	8	1	3	5	0	0	1	0
proliferation	7970	1225	131	107	21	21	6	18	6	0	0
prolific	7971	563	7	53	16	4	6	23	5	3	0
prolong	7972	2292	82	80	40	29	15	26	25	6	0
prolonged	7973	1147	20	63	23	15	6	22	20	2	0
prominence	7974	579	8	50	10	10	11	28	10	0	0
prominent	7975	6322	304	488	58	76	47	109	56	26	0
promising	7976	1786	46	93	18	36	12	40	11	3	0
promo	7977	1084	1	130	0	2	0	3	1	0	0
promotion	7978	8900	205	748	117	164	84	292	101	16	0
prompt	7979	6357	303	599	136	83	46	100	107	9	0
promptly	7980	1480	19	247	30	32	10	37	13	0	0
promulgate	7981	938	3	35	4	4	13	21	4	2	0
prone	7982	2379	31	104	50	26	26	41	26	1	0
pronounce	7983	1917	20	134	25	39	24	31	38	0	0
propagate	7984	1283	17	73	12	13	5	23	9	2	0
propagation	7985	932	5	29	3	1	0	8	3	1	0
propel	7986	2043	47	140	33	26	16	55	15	1	0
propeller	7987	697	6	8	0	2	1	1	0	0	0
proportional	7988	638	8	13	4	8	17	21	3	1	0
proportionate	7989	705	27	12	3	4	6	8	0	1	0
propose	7990	43735	517	1251	375	312	144	678	253	23	0
proprietary	7991	4315	6	11	2	1	1	19	2	0	0
proprietor	7992	593	3	116	19	22	13	18	48	0	0
propulsion	7993	1122	11	0	0	0	0	13	0	0	0
prosecute	7994	1805	69	865	88	120	34	54	61	8	0
prosecution	7995	4053	75	1359	261	238	68	82	166	2	0
prosecutor	7996	2280	276	583	79	121	95	21	82	13	1
prospect	7997	7377	262	300	67	94	76	147	34	15	0
prospective	7998	2977	14	233	18	25	29	65	25	2	1
prospectus	7999	1774	2	1	3	4	5	6	0	0	0
prosperity	8000	2823	118	444	55	106	28	186	35	20	0
prosperous	8001	1009	23	178	13	43	21	55	8	14	0
prostate	8002	1348	41	57	10	8	1	6	26	0	0
prosthesis	8003	857	4	1	11	0	0	4	0	0	0
prosthetic	8004	826	10	12	8	0	1	3	0	0	0
protection	8005	28032	344	921	185	291	129	441	107	68	0
protective	8006	7172	77	161	40	13	40	53	25	8	0
protector	8007	1103	11	14	14	16	2	10	5	1	0
protester	8008	4780	925	798	105	83	15	57	65	14	0
protestor	8009	1220	49	11	10	12	4	29	9	27	0
protocol	8010	9854	215	638	59	82	66	135	34	3	0
prototype	8011	1826	19	39	9	7	0	12	4	0	0
protrude	8012	1893	0	7	1	1	1	1	2	0	0
protrusion	8013	1847	2	0	0	0	0	0	0	0	0
proudly	8014	816	5	60	10	14	11	27	8	1	0
prove	8015	20813	594	1333	278	289	192	477	163	35	0
provider	8016	28762	89	561	181	130	71	425	65	21	0
providing	8017	807	2	5	0	4	1	1	0	1	0
provincial	8018	2711	274	42	39	180	258	276	1	376	0
provision	8019	60606	233	2395	341	432	207	1818	139	21	0
provisional	8020	3277	17	48	17	20	25	36	12	0	0
provisioning	8021	1104	0	12	3	4	0	8	0	0	0
provocation	8022	550	109	83	9	14	0	9	3	1	0
provoke	8023	1234	125	142	37	28	8	33	15	2	0
prowess	8024	697	16	52	15	10	12	25	4	0	0
proximal	8025	1703	0	0	0	0	0	0	0	0	0
proximate	8026	900	0	4	2	0	0	4	0	0	0
proximity	8027	2842	47	78	17	12	15	60	8	1	0
proxy	8028	2786	77	64	13	8	13	17	9	17	0
psbs	8029	878	0	0	0	0	0	0	0	0	0
psc	8030	1470	0	6	0	1	0	1	0	0	0
psus	8031	880	0	0	0	0	0	0	0	0	0
psychiatric	8032	768	13	44	19	13	6	3	4	1	0
psychiatrist	8033	832	8	30	6	7	5	16	3	0	0
psychologist	8034	1109	15	42	19	7	7	22	16	0	0
psychology	8035	917	13	38	26	7	8	40	6	0	0
pub	8036	1487	23	20	8	0	2	8	12	0	0
publicity	8037	1935	14	1042	35	95	23	47	10	0	0
publicly	8038	3929	115	274	83	70	40	101	49	6	0
publishing	8039	2839	23	91	20	8	7	54	24	1	0
pulley	8040	1065	1	0	0	0	0	0	10	0	0
pulmonary	8041	1555	9	13	4	1	2	2	0	0	0
pulp	8042	2217	11	16	41	1	2	3	3	0	0
pulsory	8043	1670	17	223	26	34	15	62	47	2	0
pumping	8044	1433	8	24	2	3	3	16	3	0	0
punch	8045	2597	27	140	38	22	19	15	24	1	0
punching	8046	660	2	6	5	2	1	1	1	0	0
puncture	8047	652	1	26	3	1	0	3	5	0	0
pune	8048	7459	0	0	0	0	0	0	0	0	0
punish	8049	2272	145	366	85	64	37	93	53	13	0
punishable	8050	696	10	198	8	17	4	20	3	0	0
punitive	8051	687	46	57	13	24	6	11	13	0	0
punjab	8052	20912	23	26	1	0	0	13	0	12	0
punjabi	8053	2162	2	0	2	0	0	1	0	0	0
pupil	8054	1618	37	611	186	121	138	37	226	1	0
purchaser	8055	1594	10	7	4	1	0	2	1	0	0
purchasing	8056	1803	43	64	15	12	9	62	10	3	0
pure	8057	4132	36	138	30	11	30	78	23	2	0
purely	8058	1397	37	121	24	22	16	60	19	0	0
purification	8059	2400	12	13	1	2	6	24	5	0	0
purifier	8060	1331	0	2	1	0	0	0	1	0	0
purify	8061	1360	9	22	2	4	3	5	5	1	0
purity	8062	1487	53	23	2	7	5	13	9	0	0
purple	8063	984	10	13	12	4	0	20	7	2	0
purport	8064	871	59	337	50	41	32	44	18	1	0
purportedly	8065	725	82	138	10	19	11	8	8	2	0
purse	8066	826	10	68	19	22	9	10	9	1	0
pursuance	8067	16879	1	14	0	2	1	5	0	0	0
pursuant	8068	39929	7	153	21	34	10	16	5	0	0
pursue	8069	9010	475	722	166	183	132	232	114	29	4
purview	8070	906	10	59	2	8	5	90	0	0	0
putation	8071	1148	4	22	3	4	2	5	0	0	0
putational	8072	826	13	1	1	0	1	1	0	0	0
pute	8073	1181	6	14	2	0	0	2	2	0	0
puting	8074	8000	19	15	13	6	2	28	11	0	0
pv	8075	2670	48	35	4	5	4	26	0	0	0
pvc	8076	2372	5	82	4	3	0	15	1	0	0
qr	8077	879	0	15	3	0	0	7	0	0	0
qty	8078	3619	0	0	0	0	0	4	0	0	0
quake	8079	531	172	19	1	3	1	9	8	4	0
qualification	8080	5658	62	338	131	105	71	207	103	4	0
qualified	8081	6846	134	513	98	103	44	220	49	7	0
qualifier	8082	916	44	254	79	79	141	22	41	4	0
qualify	8083	5140	70	438	147	132	135	138	79	1	0
qualifying	8084	1003	23	106	22	26	25	21	11	0	0
qualitative	8085	1296	31	106	3	14	6	18	2	0	0
quantify	8086	1158	6	38	6	9	4	11	4	2	0
quantitative	8087	2034	18	16	7	3	5	24	4	0	0
quantity	8088	13429	121	282	52	41	31	87	50	28	0
quantum	8089	2761	44	72	3	11	14	4	1	0	0
quarrel	8090	558	7	119	24	17	3	14	17	2	0
quarry	8091	603	3	25	53	2	7	16	14	0	0
quarterfinal	8092	932	26	40	19	8	4	16	12	0	0
quartile	8093	138006	7753	2523	744	0	0	6059	10	0	0
quartileebitda	8094	2124	0	1	0	0	0	46	0	0	0
quartilemcap	8095	726	65	0	0	0	0	9	0	0	0
quartileprice	8096	10932	639	57	60	0	0	253	2	0	0
quartilereturn	8097	2772	0	0	0	0	0	63	0	0	0
quartiletoday	8098	1692	105	13	4	0	0	51	0	0	0
quartiletotal	8099	2216	0	1	0	0	0	34	0	0	0
quartilevolatility	8100	2180	129	0	11	0	0	44	0	0	0
quash	8101	2059	12	57	33	9	13	14	12	1	0
quest	8102	1540	12	430	85	79	46	32	14	1	0
questionable	8103	549	15	128	22	19	18	40	16	5	0
questioning	8104	1263	10	43	9	12	3	30	5	3	0
questionnaire	8105	1299	15	18	1	4	3	10	1	2	0
queue	8106	4105	34	244	58	75	62	44	23	0	0
quintal	8107	21016	0	0	0	8	0	0	0	0	0
quip	8108	666	4	24	4	3	2	14	2	0	0
quirky	8109	730	0	1	3	0	0	4	0	0	0
quit	8110	4840	108	308	112	57	33	47	75	2	0
quota	8111	4754	103	212	26	46	27	44	13	2	0
quotation	8112	4494	2	12	6	13	12	9	0	0	0
quotient	8113	821	0	10	0	0	0	3	0	0	0
rabi	8114	770	2	30	1	0	0	0	0	0	0
racial	8115	1306	86	41	23	49	23	51	12	0	0
racing	8116	1345	8	7	21	10	7	82	0	0	0
racism	8117	1292	133	72	32	35	26	44	20	0	0
rack	8118	4844	20	15	14	4	0	12	21	0	0
racket	8119	2167	6	20	15	5	0	51	10	1	0
radial	8120	2179	7	1	1	0	0	33	2	0	0
radially	8121	1409	0	0	0	0	0	0	0	0	0
radiation	8122	6131	62	34	7	17	1	55	6	0	0
radiator	8123	1168	209	3	0	0	1	0	2	0	0
radio	8124	11139	146	445	153	151	133	67	141	12	0
radioactive	8125	744	14	14	0	5	1	2	1	0	0
radiology	8126	706	0	5	3	3	1	2	0	0	0
radius	8127	1722	12	8	4	3	4	6	2	0	0
rafale	8128	1644	1	3	0	0	0	0	0	0	0
rag	8129	688	5	14	12	1	7	79	1	0	0
rahul	8130	4286	0	0	1	0	0	3	0	1	0
raid	8131	7003	396	401	155	66	51	188	90	134	0
rail	8132	14359	300	502	61	48	42	70	16	2	0
railroad	8133	681	165	18	5	2	2	3	0	1	0
rainfall	8134	6628	95	125	31	59	76	61	25	12	0
rainwater	8135	1190	0	3	2	8	1	8	15	0	0
rainy	8136	848	20	117	18	53	34	22	36	0	0
rajasthan	8137	902	0	0	0	0	0	1	0	0	0
rajesh	8138	1757	0	0	1	0	0	0	1	0	0
rake	8139	2149	5	56	16	7	10	5	1	0	0
rakesh	8140	2577	3	0	1	0	0	5	0	0	0
rally	8141	15116	1162	757	303	217	134	276	153	30	0
rama	8142	1920	0	4	0	0	0	0	0	0	0
raman	8143	691	1	0	0	0	0	2	0	0	0
ramco	8144	1747	0	0	0	0	0	0	0	0	0
ramesh	8145	2625	0	0	1	1	0	39	0	0	0
rampant	8146	1165	33	103	39	28	35	25	66	8	0
ranchi	8147	666	0	0	0	0	0	0	0	0	0
randomly	8148	975	12	23	10	4	5	8	4	0	0
ranger	8149	472	12	89	53	18	35	14	33	3	0
ranjit	8150	787	0	0	0	0	0	11	0	0	0
ranking	8151	81839	6426	2369	535	74	21	3814	14	9	0
ranveer	8152	1997	0	0	0	0	0	0	0	0	0
rap	8153	1048	32	53	7	8	19	12	1	0	0
rape	8154	13171	142	851	104	242	123	74	77	8	0
rapper	8155	857	0	103	27	12	27	4	6	0	0
rash	8156	1303	10	37	5	7	13	12	9	1	0
ratification	8157	584	34	80	6	31	13	8	4	3	0
ratify	8158	986	93	121	20	36	30	40	5	0	0
ratio	8159	345997	5297	8060	1137	51	24	14366	41	0	0
ration	8160	3306	16	42	15	19	9	38	9	0	0
rationale	8161	1240	13	100	14	13	9	30	11	0	0
rattle	8162	628	35	40	18	6	1	6	5	4	0
ravage	8163	545	71	285	38	30	33	18	17	5	0
ravi	8164	2097	0	3	0	1	0	94	1	0	0
ray	8165	5892	50	105	25	12	13	46	9	1	0
raze	8166	514	27	132	10	17	0	0	6	3	0
react	8167	6092	224	1004	95	108	40	53	48	31	0
reactive	8168	1551	8	15	3	1	3	11	2	0	0
reactor	8169	3701	145	12	0	2	0	1	1	0	0
readable	8170	2813	1	2	1	2	1	8	0	0	0
reader	8171	4737	56	496	100	49	36	142	32	5	0
readily	8172	1437	13	131	34	30	19	29	37	0	0
readiness	8173	1801	353	385	31	63	14	43	7	11	0
reading	8174	5728	143	377	56	53	31	92	49	1	0
reaffirm	8175	2231	126	192	9	60	16	46	8	41	0
reagent	8176	3706	30	18	8	2	1	6	11	0	0
realme	8177	939	0	9	0	0	0	0	0	0	0
realty	8178	6932	0	2	0	1	0	227	2	1	0
reap	8179	1159	33	125	56	28	30	81	36	1	0
rear	8180	12584	89	278	43	23	26	66	62	0	0
reasoning	8181	835	10	66	10	3	8	18	11	0	0
reassure	8182	907	65	193	28	36	14	24	10	4	0
rebel	8183	2689	117	98	152	119	10	45	196	133	0
rebellion	8184	539	34	38	11	12	11	19	22	3	0
rebound	8185	1765	73	97	108	20	15	53	10	1	0
rebuild	8186	2309	78	301	36	51	46	88	23	13	0
recap	8187	10020	1702	328	70	1	0	300	0	0	0
recede	8188	611	11	37	12	8	8	15	4	2	0
receipt	8189	14704	17	408	51	76	73	259	38	1	0
receivable	8190	6593	0	469	6	1	0	1273	1	0	0
receivables	8191	4181	0	373	11	1	1	814	1	0	0
receiver	8192	5592	6	56	25	16	3	10	8	7	0
receiving	8193	1182	1	49	6	2	8	15	10	0	0
receptacle	8194	1155	0	4	0	0	0	1	0	0	0
receptor	8195	2842	12	3	1	0	0	3	0	0	0
recess	8196	2878	10	73	21	13	0	3	10	3	0
recharge	8197	1976	3	73	4	12	8	6	5	0	0
rechargeable	8198	754	1	41	0	1	1	0	3	0	0
reciprocal	8199	681	55	20	6	10	1	13	4	2	0
reciprocate	8200	882	27	79	6	11	3	11	2	3	0
recite	8201	708	10	28	6	3	3	12	15	5	0
reckless	8202	561	44	178	30	28	12	10	33	6	0
reckon	8203	937	8	104	30	11	29	11	8	0	0
reclaim	8204	1055	20	144	38	29	19	28	21	3	0
reclassify	8205	10877	3	152	8	2	0	267	0	0	0
reconcile	8206	1161	13	221	25	26	7	49	14	5	0
reconsider	8207	1227	47	62	8	21	3	20	11	7	0
reconsideration	8208	753	4	5	0	1	0	1	1	1	0
reconstruct	8209	1214	43	98	7	7	1	9	6	13	0
recorder	8210	665	15	10	2	0	1	4	0	0	0
recording	8211	5911	47	95	21	38	37	101	18	3	0
recount	8212	1036	76	103	39	40	17	15	49	9	0
recourse	8213	667	10	120	5	11	12	9	0	1	0
recreate	8214	1116	7	22	7	2	4	6	1	1	0
recruiter	8215	721	4	4	2	0	0	3	1	1	0
recruitment	8216	8236	27	403	104	58	28	62	74	11	0
rectangular	8217	1472	12	4	2	0	0	15	2	0	0
rectification	8218	653	0	4	0	3	0	14	2	1	0
rectifier	8219	1486	25	0	0	0	0	0	0	0	0
rectify	8220	1388	10	55	14	28	13	68	18	0	0
recur	8221	1440	6	102	19	17	7	19	4	1	0
recurrence	8222	631	12	57	4	6	4	31	4	0	0
recycling	8223	3111	44	54	11	10	15	36	3	0	0
redeemable	8224	940	0	3	0	1	1	42	1	0	0
redefine	8225	1508	11	91	7	5	12	37	2	2	0
redemption	8226	3579	2	84	7	8	6	49	3	0	0
redesign	8227	1264	27	52	3	6	6	10	10	0	0
redevelopment	8228	1626	19	9	1	2	0	6	6	1	0
redirect	8229	646	9	41	8	10	3	4	7	0	0
redress	8230	1015	7	192	21	58	11	19	17	1	0
redressal	8231	2075	0	2	0	0	0	1	0	0	0
reduced	8232	1091	14	19	8	7	11	15	12	0	0
reduction	8233	17938	344	623	103	153	44	271	77	79	0
redundancy	8234	874	19	21	4	0	2	3	8	1	0
redundant	8235	1140	3	31	13	5	2	14	13	0	0
reef	8236	733	100	4	4	1	0	56	0	0	0
refer	8237	26425	2395	834	279	284	167	406	250	74	0
referendum	8238	1248	415	146	142	46	8	47	10	2	4
refill	8239	1003	1	14	9	0	2	3	11	0	0
refinance	8240	756	0	17	1	15	1	24	1	0	0
refine	8241	1190	102	104	10	15	5	18	7	0	0
refined	8242	1653	30	126	10	22	2	29	3	1	0
refinery	8243	4429	623	963	18	96	8	26	20	1	0
refining	8244	1687	104	158	2	11	4	18	0	1	0
reflective	8245	1881	5	80	6	7	9	17	2	0	0
reflector	8246	1107	1	1	1	1	1	0	1	0	0
refractive	8247	1425	0	1	2	4	0	1	0	0	0
refractory	8248	2470	92	2	1	0	1	36	0	0	0
refresh	8249	1912	8	35	2	2	7	25	10	0	0
refreshing	8250	834	1	26	8	1	11	11	7	0	0
refrigerant	8251	1558	1	1	0	0	0	6	0	0	0
refrigeration	8252	1756	1	22	5	2	0	5	0	0	0
refrigerator	8253	2309	37	34	8	3	2	20	13	1	0
refuge	8254	689	43	82	43	37	14	29	20	9	0
refund	8255	5795	5	438	46	52	36	72	62	0	0
refurbish	8256	565	9	44	14	25	9	31	1	0	0
refusal	8257	1240	102	301	33	44	11	20	18	1	0
refuse	8258	14874	522	1610	254	280	186	201	177	22	0
refute	8259	1215	46	105	25	20	18	40	24	0	0
regain	8260	1607	121	277	36	33	27	68	27	15	0
regenerative	8261	769	6	4	0	0	1	1	0	0	0
registered	8262	903	10	26	9	3	9	23	5	1	0
registrar	8263	3599	0	254	72	26	15	23	56	0	0
registration	8264	36613	120	1142	204	215	139	185	165	57	0
registry	8265	3629	4	78	45	15	5	15	17	0	0
regular	8266	16349	217	662	141	122	84	222	70	19	0
regulate	8267	7848	96	378	89	84	46	104	90	1	0
regulated	8268	1062	2	36	3	8	3	16	2	1	0
regulating	8269	1230	0	5	2	2	0	2	0	0	0
regulatory	8270	17615	270	756	87	112	66	252	40	4	0
rehabilitate	8271	1000	10	221	32	46	40	34	19	7	1
reign	8272	1133	64	349	104	42	37	53	62	5	0
reimburse	8273	915	7	29	8	11	6	14	2	1	0
reimbursement	8274	1834	4	27	4	4	2	15	3	0	0
reinforce	8275	8683	273	264	41	54	23	100	25	4	0
reinforcement	8276	1656	70	50	19	12	3	6	10	16	0
reinstate	8277	1011	104	113	38	41	29	32	10	0	0
reinsurance	8278	859	6	202	35	1	7	86	1	1	0
reinvent	8279	861	3	47	8	6	5	19	2	0	0
reinveste	8280	75614	5575	1500	810	2	0	4172	5	0	0
reit	8281	989	3	7	29	1	0	10	0	0	0
reiterate	8282	5146	532	861	60	166	49	149	33	53	0
reject	8283	10147	886	1016	229	166	78	273	147	105	0
rejection	8284	1669	65	166	26	34	9	22	9	5	0
rejuvenate	8285	666	5	35	3	6	6	13	7	1	0
rejuvenation	8286	731	2	23	2	3	0	4	1	1	0
relapse	8287	1047	7	33	5	4	1	25	3	0	0
relate	8288	109482	2227	1821	483	465	252	2165	200	111	0
related	8289	14325	341	489	201	78	42	1101	40	13	0
relation	8290	20321	3038	1104	214	461	160	643	150	185	1
relax	8291	2973	41	155	48	20	27	75	42	0	0
relaxation	8292	2708	17	54	6	3	16	34	3	0	0
relaxed	8293	826	14	42	10	5	8	25	16	0	0
relay	8294	3900	17	37	35	13	18	60	16	0	0
relcapital	8295	801	0	0	0	0	0	0	0	0	0
relentless	8296	927	28	84	17	21	13	24	9	0	0
relevance	8297	1865	12	181	22	27	22	38	18	1	0
reliably	8298	724	8	57	8	16	5	8	4	1	0
reliance	8299	6189	86	143	21	31	14	30	14	6	0
reliant	8300	1068	30	83	12	11	10	15	8	6	0
relieve	8301	2732	39	124	32	31	29	23	30	4	0
religion	8302	6048	181	727	74	107	29	318	59	19	0
religious	8303	9952	480	1595	151	219	47	649	148	114	0
relocate	8304	1538	85	419	36	56	22	51	65	0	0
relocation	8305	1380	52	107	30	21	8	16	11	1	0
reluctance	8306	692	27	37	12	8	13	11	5	1	0
reluctant	8307	1288	47	76	28	28	19	42	21	9	0
rely	8308	7979	278	472	175	152	104	116	99	8	0
remainder	8309	1203	20	25	19	11	31	17	2	4	0
remake	8310	1466	7	6	0	3	4	1	1	0	0
remand	8311	3299	8	432	26	60	104	370	82	0	0
remark	8312	9649	1834	1093	129	266	53	242	72	65	0
remarkable	8313	2780	86	307	43	64	31	118	16	7	0
remeasurement	8314	1285	0	26	0	0	0	54	0	0	0
remedial	8315	828	14	37	7	10	3	13	13	0	0
remediation	8316	1032	2	53	0	5	0	3	0	0	0
remedy	8317	3227	25	188	32	31	26	50	20	3	0
remind	8318	5771	199	626	99	150	60	85	97	8	0
reminder	8319	2247	27	105	35	22	14	33	26	4	0
remit	8320	708	7	237	22	27	12	23	47	2	0
remittance	8321	1240	15	295	31	35	31	152	9	17	0
remotely	8322	2410	17	47	16	8	5	19	5	2	0
removable	8323	1186	0	0	0	0	0	0	1	0	0
removably	8324	697	0	0	0	0	0	0	0	0	0
removal	8325	9011	356	470	97	88	81	111	57	29	0
remove	8326	26293	735	1270	249	247	196	422	209	56	0
remuneration	8327	1697	1	77	21	13	37	15	10	0	0
renal	8328	1402	5	11	9	3	0	2	0	0	0
rename	8329	1222	23	46	14	13	12	26	13	0	0
render	8330	6396	132	484	72	78	54	137	45	6	0
renew	8331	4101	259	491	108	128	33	98	64	17	0
renewal	8332	3857	51	160	28	41	14	26	14	7	0
renovate	8333	1166	59	148	14	25	10	42	18	2	0
renowne	8334	587	18	37	7	4	8	39	3	1	0
renowned	8335	2846	38	233	31	43	42	218	16	5	0
rental	8336	6353	17	62	35	21	39	371	38	0	0
reopen	8337	5181	225	323	73	18	43	119	92	21	0
reopening	8338	888	35	107	14	13	15	11	26	3	0
repatriate	8339	476	23	138	14	30	20	62	14	0	0
repatriation	8340	688	28	85	18	30	16	52	10	17	0
repay	8341	2504	23	185	56	37	32	62	25	7	0
repayment	8342	6644	18	374	41	36	19	662	24	0	0
repeal	8343	1868	30	102	21	26	14	51	6	1	0
repeat	8344	8621	319	471	199	117	57	124	104	14	0
repeatedly	8345	4191	429	176	73	49	29	58	40	23	0
replacement	8346	10098	54	236	81	37	38	57	48	4	0
replay	8347	3415	2	22	13	9	2	7	14	0	0
replicate	8348	2044	16	146	25	26	15	19	6	0	0
replication	8349	785	3	10	1	4	0	4	0	1	0
reply	8350	14367	65	305	77	47	16	150	46	8	0
repo	8351	763	1	3	0	3	0	32	0	0	0
reportedly	8352	10093	611	898	161	187	135	170	237	49	1
reporter	8353	7345	891	893	167	157	204	125	135	156	0
reposition	8354	339	3	384	2	22	9	6	3	0	0
repository	8355	1467	3	22	6	6	3	16	1	0	0
representation	8356	8645	43	335	50	86	52	157	39	6	1
representative	8357	20057	911	1203	270	503	138	537	126	172	1
reprint	8358	53024	2	11	0	0	0	3	0	0	0
repro	8359	665	0	0	0	1	0	0	0	0	0
reproduction	8360	993	8	10	9	1	4	10	5	0	0
republican	8361	2513	426	85	52	21	0	17	21	2	0
repurchase	8362	1707	1	5	2	1	1	115	0	0	0
reputation	8363	3965	75	258	73	51	61	155	38	8	0
repute	8364	882	2	100	2	3	9	66	4	0	0
reputed	8365	741	2	4	0	1	0	57	1	0	0
request	8366	63922	650	1575	329	412	203	1145	254	69	3
require	8367	73391	1302	2710	825	724	496	1319	567	57	1
requirement	8368	88371	153	690	187	184	187	880	175	13	0
requisite	8369	2724	7	199	33	31	37	29	18	2	0
reschedule	8370	1493	10	90	16	11	10	12	9	1	0
researcher	8371	14086	865	288	152	90	43	110	47	15	0
resemble	8372	975	29	17	15	5	10	24	4	1	0
resentment	8373	784	15	35	8	6	15	27	4	0	0
reserved	8374	1346	0	30	2	4	8	1	5	0	0
reservoir	8375	3883	99	44	17	20	18	82	12	3	0
reset	8376	1863	11	46	4	3	3	34	7	1	0
reshuffle	8377	602	15	37	14	40	3	15	20	1	0
reside	8378	3580	54	305	29	53	32	91	23	9	0
residency	8379	922	17	41	12	8	0	41	3	0	0
residential	8380	12130	158	211	105	62	67	152	69	14	0
residue	8381	2275	12	13	8	8	2	8	6	0	0
resign	8382	15475	167	540	170	124	46	1835	76	17	0
resignation	8383	11335	188	292	104	86	50	658	61	24	1
resilience	8384	3504	47	270	44	103	49	117	36	6	0
resilient	8385	2904	43	127	25	68	15	59	12	4	0
resin	8386	8372	108	1	6	2	1	43	0	0	0
resist	8387	3313	178	461	54	63	40	30	47	8	0
resistant	8388	5648	63	57	27	22	13	13	42	3	0
resistor	8389	1723	0	1	0	0	0	0	0	0	0
resonance	8390	2072	9	10	4	4	3	14	3	0	0
resonant	8391	809	1	1	0	1	0	0	0	0	0
resonate	8392	1252	8	64	16	16	19	15	13	0	0
resonator	8393	847	7	0	0	0	0	0	0	0	0
resource	8394	42376	1061	3060	491	869	520	769	434	98	0
respected	8395	854	16	126	13	19	17	64	5	1	0
respective	8396	22404	54	531	84	139	64	313	76	15	0
respectively	8397	26376	382	1218	195	213	111	370	121	13	1
respiratory	8398	4289	59	108	32	9	14	39	15	4	0
respite	8399	910	4	45	8	3	7	5	5	1	0
responder	8400	1415	9	48	12	2	2	8	4	0	0
responsibly	8401	701	9	34	7	15	8	22	4	6	0
responsive	8402	3546	11	129	21	35	12	17	11	2	0
restart	8403	2176	70	78	22	16	20	32	4	7	0
restoration	8404	4540	128	222	17	42	36	49	29	15	0
restore	8405	8211	420	888	146	173	113	140	69	29	0
restrain	8406	2100	15	369	35	14	15	16	25	2	0
restraint	8407	2430	62	130	18	16	5	26	9	1	0
restrict	8408	8290	169	339	64	56	60	146	55	11	0
restricted	8409	702	9	23	7	2	6	11	4	0	0
restriction	8410	13825	675	502	143	80	125	241	77	8	0
restrictive	8411	724	41	21	12	11	20	11	2	0	0
restructure	8412	1714	6	559	25	67	19	77	14	1	0
restructuring	8413	2719	11	949	44	82	30	109	8	0	0
resumption	8414	1378	82	268	25	32	63	30	6	16	0
resurgence	8415	598	17	110	9	19	9	19	11	2	0
retailing	8416	701	2	6	23	3	7	50	2	1	0
retain	8417	27598	130	1558	283	74	76	2150	81	12	0
retainer	8418	681	0	5	7	0	0	2	4	0	0
retaliate	8419	1020	66	29	9	6	2	6	4	2	0
retaliation	8420	1087	134	47	9	5	4	12	8	1	0
retardant	8421	1186	6	0	0	0	0	0	3	0	0
retd	8422	1009	0	121	0	9	0	32	0	1	0
rete	8423	909	0	112	0	0	0	138	0	0	0
retention	8424	8878	153	180	149	11	31	100	13	0	0
rethink	8425	1086	12	105	22	18	4	16	12	0	0
retire	8426	7761	74	848	203	103	69	482	127	13	0
retired	8427	1435	21	157	33	15	6	55	29	0	0
retirement	8428	6261	44	606	150	70	77	960	79	5	0
retract	8429	1099	11	33	4	6	3	0	4	0	0
retreat	8430	1957	144	290	65	25	20	94	59	14	0
retrieval	8431	918	0	13	3	1	0	4	1	0	0
retrieve	8432	2873	42	124	30	24	12	22	21	1	0
retrofit	8433	835	4	6	1	0	0	0	1	0	0
returnee	8434	607	7	166	14	45	30	56	8	7	0
reusable	8435	772	5	18	3	2	0	14	6	0	0
reuse	8436	1232	8	20	3	6	5	11	2	0	0
revaluation	8437	1552	2	81	8	1	1	494	0	0	0
revamp	8438	1744	16	187	34	20	13	53	19	0	0
reveal	8439	25697	581	3512	412	445	292	609	380	34	1
revenge	8440	1173	126	87	30	13	14	30	19	12	0
revenuenet	8441	1621	359	88	78	0	0	41	0	0	0
reversal	8442	1406	17	163	9	12	9	282	2	0	0
revert	8443	8736	815	272	66	8	15	150	11	1	0
revise	8444	12827	98	231	45	68	34	121	37	7	0
revisit	8445	1099	12	115	26	12	15	22	15	1	0
revival	8446	2769	41	87	31	20	46	86	26	4	0
revive	8447	4303	196	323	100	72	77	114	61	18	0
revocation	8448	809	25	48	13	5	2	2	2	1	0
revoke	8449	2104	59	94	55	22	8	14	7	2	0
revolt	8450	571	17	50	7	5	9	11	2	0	0
revolutionary	8451	1403	92	104	14	39	38	75	14	1	0
