		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
omission	7334	976	169	1	0	102	3	0	0	8	0
omit	7335	1125	177	1	3	45	9	0	1	132	6
onboard	7336	2079	211	44	18	54	40	76	62	23	0
oncology	7337	7167	44	1258	0	237	247	203	41	10	1
oncopeptide	7338	9	0	1343	0	7	32	0	0	5	0
onion	7339	3356	1272	0	0	28	0	1	2	0	2
onset	7340	1667	145	67	1	101	22	10	27	9	2
onshore	7341	3334	97	122	2	79	256	403	9	31	3
onsite	7342	2090	136	1	10	38	11	0	7	1	0
onto	7343	15733	2511	58	7	771	30	29	20	148	19
onwards	7344	1405	195	44	4	253	48	29	130	42	4
ooh	7345	1592	21	1	0	2	0	0	0	0	1
opal	7346	1002	39	0	0	26	0	0	0	0	1
opener	7347	5283	1239	19	0	81	5	1	3	9	2
openly	7348	1745	357	13	1	90	0	0	4	27	21
openness	7349	837	118	5	1	137	2	3	26	17	15
operable	7350	1175	10	32	1	14	0	0	1	37	1
operate	7351	364539	10574	31147	2925	8560	8482	11339	11220	7151	698
operative	7352	3103	998	150	6	226	58	21	254	36	8
opioid	7353	3699	153	83	5	122	41	30	0	0	0
opposite	7354	8533	1345	795	200	622	243	178	207	221	61
opt	7355	8054	1330	173	2	455	56	17	4	111	13
optic	7356	4819	79	187	5	110	59	10	21	85	5
optical	7357	13780	49	433	23	231	54	49	294	571	14
optimal	7358	3721	157	89	12	190	91	88	23	89	13
optimum	7359	1515	79	27	3	61	5	3	23	20	2
optionally	7360	981	5	28	1	16	6	2	3	18	0
optoelectronic	7361	1126	0	22	0	0	1	0	0	5	0
oral	7362	5320	304	221	9	797	167	24	72	87	3
orbital	7363	1270	27	19	2	18	1	0	0	2	0
orchard	7364	1695	650	0	0	82	4	0	0	0	11
orchestra	7365	1013	236	1	1	100	2	0	0	0	8
orchestrate	7366	1117	124	3	1	14	25	5	0	6	0
orchid	7367	871	103	3	0	111	1	0	0	0	16
ordeal	7368	959	262	3	0	140	1	0	0	4	1
ordering	7369	1038	39	7	1	32	5	2	25	41	0
orderly	7370	784	122	6	2	158	9	3	4	8	5
ordinance	7371	1711	15	9	0	41	0	0	0	0	0
ordinarie	7372	2958	0	0	0	0	0	0	0	0	0
ordinaries	7373	317140	0	0	0	0	0	0	0	0	0
ordinary	7374	131754	4764	2618	234	2401	1355	2218	394	2200	29
ordinate	7375	1197	389	24	0	190	4	3	1	3	2
ordinator	7376	1871	734	2	0	98	2	2	0	1	1
ore	7377	22245	70	89640	15	151	10896	27857	407	63	10
ores	7378	47	0	1983	0	1	0	6	1	0	0
organically	7379	784	49	176	1	34	101	8	26	142	2
organism	7380	1469	221	0	0	223	23	4	1	31	5
orient	7381	6480	258	189	39	230	56	64	115	129	10
oriental	7382	1505	140	8	0	7	1	26	1	2	3
orientation	7383	3642	137	18	12	312	19	10	144	106	22
originally	7384	12572	1759	151	15	484	94	178	115	222	163
originate	7385	3312	247	87	5	322	15	13	22	41	11
origination	7386	1592	6	8	1	10	5	23	3	6	0
orion	7387	2295	385	33	0	13	79	2	3711	0	0
orkla	7388	183	0	21	0	0	13	1595	5	5	0
ornamental	7389	2233	81	22	3	29	0	0	16	43	0
orocobre	7390	1104	0	2	0	0	0	0	0	0	0
orphazyme	7391	2	0	0	0	0	1710	0	12	0	0
orste	7392	36	0	0	0	3	1754	0	0	1	0
osake	7393	78	0	2	0	0	3	0	1211	0	0
oscar	7394	1675	203	865	0	38	5	7	2	3	7
osl	7395	1327	0	2	0	4	0	7512	0	0	0
oslobor	7396	1740	0	4	0	0	12	50176	0	0	0
otc	7397	1229	1	21	1	44	10	11	2	32	1
otcbb	7398	811	1	99	47	78	111	111	28	241	11
otive	7399	1025	95	10	0	38	4	0	6	6	26
ought	7400	1217	259	3	0	82	4	0	1	18	6
ounce	7401	7647	518	2112	272	546	766	1010	863	2	3
ours	7402	1207	203	5	0	30	0	3	5	7	2
ourselves	7403	8662	1940	47	10	402	35	21	2	64	15
oust	7404	1233	244	5	0	29	0	0	0	4	17
outage	7405	4050	338	13	0	70	10	13	19	28	7
outback	7406	1866	116	0	0	0	0	0	0	3	0
outbound	7407	1040	24	3	0	21	1	0	9	6	0
outdated	7408	1413	151	3	0	83	2	0	2	11	12
outdoors	7409	2406	415	8	0	92	12	1	44	8	14
outer	7410	6339	380	174	5	123	26	19	25	64	15
outfit	7411	5123	780	16	0	44	3	20	0	14	2
outflow	7412	7608	390	53	88	61	25	107	61	22	23
outgoing	7413	2453	354	37	1	133	9	0	3	45	57
outing	7414	2702	652	1	0	21	0	0	2	6	0
outlet	7415	12099	918	188	15	368	31	13	190	198	39
outline	7416	10433	1201	119	12	1305	120	98	53	102	25
outnumber	7417	50213	1285	10433	702	1668	1870	2795	2186	1506	130
outotec	7418	165	0	3	6	0	7	4	1305	2	0
outpace	7419	1016	59	1	0	18	8	0	0	3	1
outpatient	7420	2545	64	16	1	55	15	6	2	2	14
outperform	7421	112486	2552	24147	1255	3544	4033	5816	5385	3267	139
outperformance	7422	15999	20	1563	205	531	429	410	393	5	46
output	7423	16722	433	212	61	740	163	63	157	419	274
outrageous	7424	1225	282	2	2	28	0	0	0	3	4
outreach	7425	3399	96	1	0	371	1	4	4	10	1
outright	7426	2087	310	5	0	51	0	2	1	27	1
outset	7427	1239	209	4	2	148	15	5	0	5	0
outsider	7428	1461	255	3	0	22	1	0	0	17	4
outskirt	7429	1107	272	1	0	39	5	1	1	16	16
outsource	7430	2370	87	10	0	114	11	9	11	22	1
outsourced	7431	1177	12	60	1	33	7	7	2	12	1
outsourcing	7432	4854	34	26	0	77	76	46	107	160	1
outstanding	7433	102480	4622	23684	1496	5557	4903	9614	5523	3217	195
outweigh	7434	1125	227	9	0	99	4	0	1	7	5
ovarian	7435	1444	90	16	0	77	40	4	0	0	0
overbought	7436	59194	1951	17097	1267	2762	3320	4707	4205	2683	270
overdose	7437	2032	127	9	10	61	0	0	0	0	0
overdraft	7438	1139	166	293	5	194	84	176	88	133	2
overdue	7439	1550	362	2	0	52	4	22	0	4	5
overflow	7440	951	233	1	2	40	0	8	0	22	1
overhead	7441	2906	309	69	11	97	31	3	53	7	3
overlap	7442	2017	171	39	6	145	14	8	42	43	7
overlay	7443	1529	68	11	0	20	19	0	14	70	0
overload	7444	843	133	19	3	124	3	0	19	3	8
overlook	7445	6105	763	9	1	190	4	0	2	19	7
overly	7446	1372	336	0	2	51	0	0	1	20	2
override	7447	898	104	8	3	80	4	2	0	15	11
overseas	7448	23133	5063	85	2	886	29	12	19	29	17
oversee	7449	19388	922	65	1	414	37	32	14	69	6
oversell	7450	41935	701	8567	502	1444	1420	2390	1844	1216	116
overshadow	7451	923	190	10	0	33	10	0	1	6	6
oversold	7452	41435	849	9083	573	1509	1484	2662	2024	1333	144
overtake	7453	1913	457	7	4	56	2	1	1	21	11
overtime	7454	4007	181	1	1	258	1	3	9	9	9
overturn	7455	2545	455	1	1	90	3	13	1	9	6
overvaluation	7456	116160	2495	15813	1294	3756	3635	4810	5433	3111	42
overvalue	7457	57818	1999	13479	592	1684	2696	2503	4121	1214	39
overview	7458	4275	117	112	16	765	301	145	46	362	15
overweight	7459	3445	146	0	1	108	15	5	4	0	6
overwhelm	7460	1144	265	1	2	41	2	1	2	10	0
overwhelmed	7461	1626	367	8	0	69	2	0	1	3	1
owe	7462	6283	1185	45	4	416	129	38	12	59	65
ownership	7463	61541	3090	16827	1147	3415	3543	5749	4404	2581	272
oxygen	7464	3874	356	8	4	244	15	25	13	68	3
oy	7465	350	1	38	0	17	23	23	707	6	0
oyj	7466	355	1	31	0	0	31	6	4130	4	0
pac	7467	1048	5	7	0	1	7	0	0	0	0
pacific	7468	5115	1570	32	0	41	13	9	1	7	0
packaging	7469	18479	644	1874	41	851	464	90	932	390	18
packer	7470	2652	94	0	0	4	1	0	0	1	0
packet	7471	5711	349	424	4	56	1	39	179	20	9
packing	7472	2033	126	124	1	64	12	0	11	43	1
paddle	7473	1848	448	5	0	23	0	0	0	21	0
paddock	7474	4243	992	0	0	10	0	0	0	2	0
pagemaster	7475	1850	0	0	0	0	0	0	0	0	0
painful	7476	2182	562	37	2	96	17	0	0	17	5
paint	7477	14325	2749	113	3	400	163	3	113	609	31
painter	7478	1363	269	5	1	119	32	0	0	15	18
pair	7479	31301	5309	85	0	378	22	15	88	289	31
pairing	7480	1384	133	7	2	13	1	8	3	15	0
paisa	7481	1294	0	34	0	1	3	0	4	0	0
paise	7482	1208	0	228	0	2	33	3	26	3	0
pakistani	7483	1481	121	29	0	59	0	0	0	20	9
palace	7484	2754	465	15	2	114	1	0	4	9	80
palate	7485	1164	76	0	0	5	1	0	0	1	0
pale	7486	1092	274	0	0	30	0	1	0	6	4
palestinian	7487	1989	241	28	0	178	0	0	7	26	30
pallet	7488	1288	109	22	0	124	5	4	18	0	2
palm	7489	4903	473	46	13	261	75	14	11	23	6
pamper	7490	1100	59	0	0	3	0	0	0	4	0
pancreatic	7491	1018	44	227	0	144	80	14	1	1	1
panie	7492	262876	9344	29434	1666	10897	6765	8483	6593	3770	1138
panied	7493	1162	71	263	13	230	34	71	28	35	8
panion	7494	2214	373	451	0	52	23	0	1	27	2
panoramic	7495	2586	121	12	0	6	8	0	2	42	0
pant	7496	2750	387	47	0	26	0	1	1	12	1
panther	7497	5034	438	1	0	2	0	2	0	1	0
panye	7498	2175	227	68	5	547	23	63	3	39	26
panys	7499	1306	0	22	0	0	8	0	2	0	0
paperwork	7500	1769	272	0	0	91	2	0	0	7	15
parability	7501	143	1	715	0	88	72	3	195	4	0
parable	7502	4454	338	293	8	347	238	60	856	165	13
parade	7503	5749	1175	1	0	293	3	0	0	4	22
paradigm	7504	1779	46	23	2	54	53	6	8	56	0
paradise	7505	930	139	0	0	4	0	0	0	0	1
paragraph	7506	1300	159	28	6	5207	78	74	38	128	2
paramedic	7507	4561	384	0	0	229	1	0	0	1	3
parameter	7508	138848	7616	63621	4409	11406	11983	18589	14649	10183	682
paramount	7509	1620	228	13	1	116	17	9	4	22	1
parative	7510	1145	98	93	4	153	55	32	99	19	14
paratively	7511	1958	281	848	139	203	218	203	227	173	6
pare	7512	248687	10082	30079	3831	10687	9719	14139	11320	7777	691
parental	7513	1585	294	30	0	294	9	0	13	9	15
parenting	7514	1448	407	1	0	49	0	0	3	1	0
parison	7515	129142	3302	15284	1521	4512	3772	5906	5609	3681	313
parity	7516	7375	170	87	30	97	39	21	58	42	11
parking	7517	16746	2101	194	36	2411	65	82	90	190	25
parkland	7518	1253	60	3	0	15	0	0	0	0	0
parole	7519	3515	689	13	0	34	0	0	0	13	6
partial	7520	3536	550	131	19	384	82	97	186	59	19
partially	7521	5565	483	116	15	404	90	34	105	95	25
participacoe	7522	2089	16	92	0	39	9	12	10	4	1
participant	7523	22764	1506	419	43	1686	1236	646	492	175	116
participate	7524	30499	1663	1499	160	2295	1129	833	603	347	113
participation	7525	10618	741	1175	81	2199	395	203	277	289	125
particle	7526	6343	280	155	2	395	132	61	30	282	4
particular	7527	31030	3349	387	61	6695	370	148	155	499	152
particulate	7528	898	53	7	1	163	13	23	2	11	0
partisan	7529	1327	134	1	1	23	1	0	0	26	7
partition	7530	1271	52	16	0	98	0	1	4	13	3
partly	7531	4797	1101	380	49	342	199	226	124	107	60
partment	7532	1175	74	10	4	60	5	26	1	33	0
partnering	7533	1021	28	58	0	20	12	11	2	2	1
passage	7534	4340	418	57	4	194	7	6	3	56	18
passenger	7535	25275	3918	344	214	1905	508	316	611	202	236
passing	7536	1788	259	8	0	70	1	4	0	11	8
passive	7537	2473	270	131	4	119	13	4	9	34	8
passport	7538	2894	520	9	8	508	8	4	2	22	16
password	7539	4188	306	47	0	199	11	17	38	153	5
pasta	7540	2531	383	3	1	20	0	0	53	13	2
paste	7541	2250	336	20	4	177	13	69	36	14	2
pastor	7542	1166	207	0	0	11	0	0	0	3	0
pastoral	7543	1433	281	0	0	56	0	0	0	1	1
pastry	7544	4055	358	2	0	85	0	0	8	0	2
pasture	7545	3025	704	1	0	35	1	1	0	5	1
patch	7546	5093	1111	22	0	278	2	0	16	39	6
patented	7547	1108	10	223	0	16	44	178	8	48	0
pathogen	7548	1003	54	1	0	41	6	3	3	46	3
pathology	7549	2043	26	99	0	85	34	192	0	17	2
patibility	7550	1129	33	27	3	185	9	11	3	34	3
patio	7551	1735	172	2	0	43	2	6	0	0	0
patrol	7552	5126	951	6	0	758	9	0	3	8	33
patron	7553	4470	431	5	0	141	2	0	2	4	10
pattern	7554	15365	1607	2518	170	975	423	755	452	404	29
pause	7555	3112	593	43	5	99	27	2	4	21	13
pavement	7556	1200	165	28	0	148	2	0	0	4	4
pavilion	7557	2099	150	9	0	131	5	0	6	8	28
payable	7558	43878	2472	11573	663	2415	2343	4723	3583	1269	32
payer	7559	1562	81	18	2	112	8	0	1	2	4
payload	7560	2041	87	41	2	30	13	13	5	23	0
payout	7561	7941	728	1127	309	304	360	308	431	225	31
payroll	7562	5606	321	51	2	899	39	228	63	49	3
pc	7563	7753	265	509	11	1038	49	124	132	111	8
pcb	7564	1383	3	178	7	39	12	1	28	2	0
pcp	7565	5225	83	397	30	314	141	154	177	101	0
pct	7566	1985	354	171	344	16	59	14	122	161	560
pea	7567	1449	591	9	0	50	0	0	2	3	0
peab	7568	179	0	1994	14	0	30	4	3	18	0
peace	7569	8762	1465	126	19	1096	10	2	51	70	60
peaceful	7570	2429	495	26	1	351	1	0	22	18	11
peak	7571	31034	2484	2625	228	1057	725	748	677	578	84
peanut	7572	2888	257	1	4	17	1	0	2	1	0
pear	7573	1123	197	58	0	46	1	0	0	14	5
pearl	7574	2622	185	14	0	36	2	0	17	6	1
pedal	7575	1562	337	0	0	85	2	0	0	36	1
pedestrian	7576	5510	1127	14	6	726	13	8	21	25	11
pedigree	7577	1386	136	0	0	11	0	0	0	8	1
peek	7578	1228	133	1	0	11	0	1	0	20	1
peel	7579	3197	487	4	1	49	8	9	3	9	3
peer	7580	28432	1392	6648	422	1539	1250	1664	1234	729	81
peet	7581	1378	2	0	0	0	0	0	0	0	0
peg	7582	1892	168	4	0	15	0	0	0	5	0
pelican	7583	1403	84	0	1	9	1	0	0	0	1
pelle	7584	3652	460	15	3	122	12	12	10	28	0
pellet	7585	1020	123	3	2	28	22	17	19	4	0
pelling	7586	1488	210	9	2	29	4	3	2	17	0
penalty	7587	16831	3407	12	1	1158	17	12	19	43	21
pencil	7588	1798	189	1	0	40	1	0	1	10	4
penetrate	7589	14702	596	3794	275	580	731	1011	925	602	73
penetration	7590	1822	65	31	3	56	33	0	6	9	1
penguin	7591	1206	641	0	0	53	0	4	1	9	0
peninsula	7592	4099	627	21	0	117	7	7	1	9	6
pennant	7593	1605	69	0	0	0	0	0	2	0	0
pensate	7594	2812	269	93	10	186	85	49	110	66	43
pensation	7595	15902	829	228	24	924	329	366	352	139	182
pension	7596	12754	377	1297	46	2306	1145	841	609	274	214
pensioner	7597	1949	276	1	0	220	3	6	2	0	22
pepper	7598	3675	975	1	0	20	1	0	4	45	1
peptide	7599	2482	32	128	0	13	510	99	0	7	0
perceive	7600	3842	604	51	8	327	17	6	10	75	42
percent	7601	145364	922	6146	1780	1072	1631	1293	1682	1016	5633
percentage	7602	32839	2059	10977	645	1892	2086	2353	2293	1169	238
percentile	7603	169113	5263	41756	2948	7294	8356	11335	9617	6402	347
perch	7604	1235	243	3	0	15	1	0	0	2	0
perennial	7605	1143	245	0	1	10	0	0	0	4	0
performer	7606	120235	3791	17450	1693	4078	4194	6032	4515	3454	435
perfume	7607	1208	81	35	2	17	1	3	0	0	5
peril	7608	1142	170	2	0	18	0	27	1	7	0
perimeter	7609	1572	161	63	1	61	32	4	2	23	1
periodic	7610	1112	77	46	0	154	6	22	9	286	0
periodically	7611	869	80	4	0	76	8	1	4	14	0
peripheral	7612	4757	37	110	5	124	15	31	2	322	2
permanently	7613	2479	419	15	2	186	10	11	21	19	23
permid	7614	9078	99	479	37	46	120	36	159	10	6
permission	7615	5186	814	311	1	660	49	12	48	241	22
perpetrator	7616	1664	221	22	0	268	0	0	3	11	33
perpetual	7617	5927	109	21	3	46	20	185	3	92	0
perseus	7618	1655	0	7	0	0	0	0	0	0	0
persist	7619	2446	243	33	10	170	27	6	6	33	17
persistence	7620	924	79	5	0	56	0	3	1	31	2
persistent	7621	2552	304	29	4	260	22	1	67	41	4
persuade	7622	1654	488	4	0	156	2	1	0	7	20
pertain	7623	1897	52	131	8	172	76	398	21	33	2
pertinent	7624	1291	71	1	0	66	2	0	9	12	1
pesticide	7625	2333	116	28	1	429	2	7	34	4	16
pet	7626	21162	3460	110	4	461	51	51	37	66	19
petencie	7627	1030	35	38	3	143	297	32	10	23	0
petent	7628	1534	257	112	4	1536	82	70	32	21	14
peting	7629	3752	695	6	2	103	18	5	2	15	4
petitiveness	7630	2211	129	120	8	592	80	58	228	31	39
petrochemical	7631	4309	14	37	5	83	14	50	2	9	79
petrol	7632	5443	2160	21	15	218	24	18	10	634	102
petroleum	7633	17845	328	1343	16	158	535	2598	99	24	36
pga	7634	1256	172	1	0	0	0	0	0	0	1
ph	7635	6038	274	273	1	108	39	27	14	36	8
pharma	7636	3891	24	1965	3	153	257	342	104	158	2
pharmaceutical	7637	38620	202	4262	102	2676	900	260	487	275	34
pharmacist	7638	1652	166	29	1	306	18	4	2	0	13
pharmacy	7639	7603	543	244	7	324	74	56	86	15	41
phd	7640	4150	234	223	12	593	88	52	20	50	0
phenomenon	7641	2432	371	1	6	229	16	2	9	82	13
philanthropic	7642	1886	87	4	0	20	0	0	0	7	0
philanthropy	7643	1276	68	2	0	18	0	0	7	2	0
philip	7644	153	11	2	3	1	7	0	2	1081	1
phillip	7645	1759	68	0	0	11	0	0	12	5	0
philosophy	7646	4804	534	51	12	192	34	10	7	92	2
phoenix	7647	1116	316	2	0	31	0	0	0	0	2
phosphate	7648	1573	134	3	0	54	8	1	5	12	2
photocure	7649	196	0	71	0	4	10	1339	0	0	0
photograph	7650	6463	1466	15	0	613	12	1	10	40	45
photographer	7651	4854	790	7	2	212	24	1	1	28	17
photographic	7652	1471	142	2	0	127	23	1	0	4	4
photography	7653	4811	505	2	0	338	16	0	0	82	6
photonic	7654	1206	5	7	10	40	67	1	12	10	0
photovoltaic	7655	1642	15	13	61	44	146	53	169	7	23
phrase	7656	2579	540	5	2	125	11	0	1	50	5
physician	7657	10581	161	137	5	177	41	3	31	10	22
physics	7658	2104	134	38	2	235	7	2	9	16	1
physiotherapy	7659	723	161	26	0	250	2	14	3	4	0
piano	7660	2331	466	0	1	136	1	0	0	11	10
piastre	7661	2635	0	56	1	11	9	2	1	1	0
pickle	7662	1124	178	0	0	9	0	0	0	2	0
pickup	7663	2893	196	14	0	17	4	14	56	29	4
picturesque	7664	1332	208	3	0	24	0	0	0	1	0
piece	7665	28529	4918	162	4	1097	41	8	31	334	110
pier	7666	1747	139	17	5	92	4	0	2	11	3
pierce	7667	10359	270	2018	124	332	291	597	433	327	33
pig	7668	5073	634	10	2	222	82	10	18	163	33
pigment	7669	1565	29	3	0	74	10	0	8	125	0
pilation	7670	1031	49	4	0	45	1	0	7	13	0
pilbara	7671	2512	2	0	0	0	0	1	0	0	0
pill	7672	3156	458	89	1	47	2	0	6	3	2
pillar	7673	3518	209	142	9	617	21	53	19	82	34
pillow	7674	1379	196	0	0	9	1	0	0	37	2
pilot	7675	15443	1935	302	23	1115	145	144	160	107	91
pin	7676	7217	816	65	45	164	26	49	7	58	4
pinch	7677	1958	497	1	0	24	0	0	0	5	1
pineapple	7678	1144	143	0	0	75	0	0	1	0	1
pink	7679	7947	979	15	1	99	9	2	1	7	6
pinksheet	7680	1143	1	0	0	0	0	1	0	0	0
pinpoint	7681	1257	204	1	2	48	1	0	0	8	2
pioneer	7682	8198	452	331	9	317	169	189	158	71	12
pioneering	7683	2338	113	19	5	299	195	31	31	31	2
pip	7684	791	195	48	12	38	8	16	12	3	0
pipe	7685	11441	1183	111	14	326	241	40	213	74	7
pipeline	7686	16072	734	264	53	1053	437	669	160	239	63
piper	7687	999	62	10	0	31	0	0	2	16	0
piping	7688	1272	64	7	3	76	1	1	30	10	5
pirate	7689	1696	303	1	0	34	0	3	0	18	245
pistol	7690	1023	209	1	2	32	1	0	4	2	10
piston	7691	2182	56	11	0	1	16	7	2	28	0
pitch	7692	10516	1918	12	0	498	38	3	3	112	5
pitcher	7693	1234	173	0	0	2	0	0	0	0	0
pivot	7694	4319	183	24	6	7	9	0	1	44	0
pivotal	7695	3905	314	227	11	227	59	86	10	24	1
pixel	7696	3622	71	13	15	59	8	7	8	176	0
pkt	7697	1580	0	0	0	3	20	0	0	0	0
placebo	7698	1289	28	156	5	193	144	9	49	0	1
placement	7699	12715	1073	613	31	1281	483	3240	113	223	11
placing	7700	2227	363	41	0	176	63	43	0	62	7
plague	7701	2431	409	2	1	74	0	0	1	19	2
plainant	7702	934	461	0	0	77	0	0	0	3	5
plaint	7703	14074	3453	60	4	1175	11	101	12	76	255
plaintiff	7704	4573	99	10	2	84	2	4	2	47	3
planned	7705	2678	255	126	17	202	62	89	83	74	74
planner	7706	4390	306	5	1	179	7	2	4	4	1
plantation	7707	3433	258	22	0	116	77	4	15	16	60
planting	7708	5807	863	4	0	169	3	1	0	57	8
plaque	7709	1733	237	0	0	121	13	0	0	15	30
plasma	7710	2662	80	65	13	142	62	1	1	90	12
plaster	7711	831	181	2	0	48	3	0	47	2	1
plastic	7712	22473	3238	381	62	1432	321	262	408	402	59
plate	7713	16544	1469	465	58	464	103	12	235	248	9
platform	7714	101978	3617	9750	660	3810	3077	3707	2183	2540	212
platinum	7715	5354	150	19	0	136	13	8	2	9	0
platt	7716	1357	25	0	158	40	55	58	85	53	54
playground	7717	3119	837	9	1	104	3	2	4	22	4
playing	7718	7346	1314	7	7	357	5	4	5	41	5
playlist	7719	1061	59	1	0	11	1	1	0	29	0
playmaker	7720	1511	469	0	0	3	0	0	0	0	0
playoff	7721	3560	1398	0	0	4	0	0	0	0	7
playstation	7722	876	58	42	0	14	6	74	6	29	1
plea	7723	3838	1043	19	3	238	0	0	0	8	5
pleasant	7724	1973	374	12	1	83	11	3	7	9	5
pleased	7725	46613	3345	1484	57	2011	812	2111	226	514	10
pleasing	7726	2162	483	45	1	89	18	9	2	5	1
pleasure	7727	5569	644	89	3	424	43	17	13	33	4
plebiscite	7728	2329	19	4	0	11	0	0	0	0	2
pledge	7729	10211	905	58	10	846	92	26	59	52	48
plemente	7730	2260	149	374	6	276	85	69	77	28	10
plementing	7731	8842	601	7380	302	1126	1416	2008	1696	1	0
plenary	7732	435	4	3	0	570	0	12	4	4	29
pleted	7733	2244	298	117	2	140	99	123	53	39	14
pletely	7734	14503	2792	171	15	719	139	24	86	181	71
pleteness	7735	1773	14	4	4	78	36	0	1	5	0
pletion	7736	17044	1078	693	50	971	597	1561	555	201	58
plexe	7737	1500	52	3	2	18	1	2	0	65	0
plexitie	7738	1363	121	1	0	74	3	0	5	13	0
plexity	7739	4499	274	37	3	310	64	9	35	98	8
plexure	7740	42	1191	3	0	0	0	0	0	0	0
pliant	7741	4458	388	75	5	336	18	43	17	129	2
plicate	7742	3655	598	49	5	146	18	5	24	45	57
plication	7743	2374	355	43	12	187	33	3	6	8	20
pliment	7744	1122	151	16	0	48	5	3	1	10	1
plimentary	7745	4317	87	29	0	25	3	0	1	4	0
plish	7746	1836	67	13	0	36	7	6	0	27	2
plishe	7747	3325	222	23	7	81	4	4	14	34	1
plishment	7748	3892	143	15	0	54	9	14	4	12	2
plot	7749	5312	971	34	13	282	15	13	67	41	52
plug	7750	6785	716	118	2	112	20	28	18	124	16
plumbing	7751	2718	245	163	0	117	99	1	100	4	0
plummet	7752	47974	554	6161	197	539	742	1652	918	444	20
plunge	7753	8651	709	1098	30	214	217	254	219	150	30
plurality	7754	19529	28	376	16	39	36	46	136	460	2
ply	7755	8835	1213	93	9	1888	173	89	117	134	38
pndx	7756	0	0	1358	0	0	0	0	0	0	0
pneumatic	7757	1083	12	137	25	16	1	0	3	5	2
pneumonia	7758	932	153	5	0	42	3	0	1	3	0
poach	7759	884	137	3	0	51	0	0	0	1	4
podcast	7760	5937	815	23	0	135	12	1	28	53	0
podium	7761	3374	594	1	7	32	8	0	3	24	1
poem	7762	1404	300	0	2	227	3	1	0	4	5
poet	7763	1602	318	2	0	177	7	0	0	9	11
pointer	7764	1678	244	3	0	16	1	0	13	2	1
pointing	7765	2422	86	556	38	108	97	166	73	81	12
poise	7766	3827	415	26	0	27	8	5	1	18	0
poison	7767	1578	592	1	0	66	0	0	4	9	19
poisoning	7768	851	230	21	0	109	2	0	0	3	8
poker	7769	2016	144	66	0	34	3	23	0	4	33
polar	7770	2077	166	401	7	112	19	71	38	17	1
polarcus	7771	112	1	2	0	0	2	977	0	0	0
pole	7772	6667	1079	28	12	144	12	62	65	53	36
policeman	7773	1081	279	20	0	16	0	0	0	5	9
policing	7774	1916	369	0	0	910	2	0	0	2	3
policyholder	7775	1224	109	1	1	27	24	11	24	72	0
policymaker	7776	1926	66	12	0	181	0	6	5	38	11
polish	7777	5658	358	149	15	433	19	22	40	24	244
polished	7778	1467	202	36	0	6	0	0	0	4	0
politician	7779	12483	2284	62	5	672	32	14	17	86	399
poll	7780	15223	2067	71	6	535	1	22	11	105	549
polling	7781	2821	424	29	0	203	1	0	6	42	45
pollutant	7782	733	67	35	1	276	1	9	4	7	3
polo	7783	1312	173	2	0	34	2	0	0	8	0
poly	7784	1353	15	104	0	14	16	3	13	7	0
polyester	7785	1839	25	2	0	21	28	0	6	50	0
polyethylene	7786	1595	28	2	2	110	2	3	17	12	4
polymer	7787	7655	34	289	39	198	81	35	131	92	7
polypeptide	7788	1217	0	1	0	14	221	4	0	0	0
polyurethane	7789	1167	11	4	0	67	57	1	3	2	0
pond	7790	2187	476	3	0	159	2	4	1	3	9
ponder	7791	1015	280	2	0	14	0	0	2	4	17
ponent	7792	41183	912	2075	413	1673	710	388	801	797	68
ponsse	7793	69	0	5	2	0	11	0	1259	0	0
pont	7794	603	55	279	11	133	101	65	107	72	9
pony	7795	1240	298	0	0	16	0	0	0	3	0
pool	7796	29023	3837	898	3	717	92	115	43	51	18
poolside	7797	1100	32	0	0	0	0	0	0	0	0
poorly	7798	2393	490	9	3	133	8	6	7	28	6
popular	7799	30570	4588	119	7	1057	68	25	592	330	172
popularity	7800	4221	727	8	2	158	10	5	42	167	65
population	7801	27879	5102	1273	157	3436	506	94	631	286	278
populist	7802	1069	245	1	0	148	3	0	2	11	68
pork	7803	5362	551	7	0	49	11	0	144	18	22
porn	7804	1010	211	0	0	26	0	1	0	52	2
porous	7805	1335	57	11	0	25	4	0	1	16	0
portable	7806	6071	165	223	0	116	35	7	71	84	2
portal	7807	55100	153	230	8	1146	96	63	25	39	65
portion	7808	30285	723	517	35	230	232	501	312	514	34
portrait	7809	2926	493	3	1	375	5	0	0	28	6
portray	7810	1802	460	4	0	103	2	0	3	31	1
portuguese	7811	1235	129	15	3	189	18	10	2	8	10
poser	7812	1555	260	0	0	136	4	1	0	8	45
posite	7813	5646	126	59	55	202	36	93	184	53	2
positioning	7814	3416	144	328	9	95	53	140	16	88	3
positively	7815	2798	301	294	16	225	267	52	52	76	55
possess	7816	6181	553	63	3	307	51	31	11	67	9
possession	7817	7344	1408	194	6	1063	109	81	91	25	23
possibility	7818	11422	1772	566	25	1526	319	120	169	123	104
possum	7819	619	544	0	0	0	0	0	0	0	0
poster	7820	3924	504	159	13	360	51	67	5	105	14
postgraduate	7821	932	83	2	3	341	3	9	1	11	7
posting	7822	1244	96	2	0	121	4	3	3	42	3
postnl	7823	150	0	3	0	16	13	2	2	994	0
postpone	7824	3405	815	267	15	352	281	177	294	83	88
